AL,Alabama,Alabama,4903185,Alabama
AK,Alaska,Alaska,731545,Alaska
AS,NA,NA,55641,NA
AZ,Arizona,Arizona,7278717,Arizona
AR,Arkansas,Arkansas,3017804,Arkansas
CA,California,California,39512223,California
CO,Colorado,Colorado,5758736,Colorado
CT,Connecticut,Connecticut,3565287,Connecticut
DE,Delaware,Delaware,973764,Delaware
DC,NA,District of Columbia,705749,District of Columbia
FL,Florida,Florida,21477737,Florida
GA,Georgia,Georgia,10617423,Georgia
GU,Guam,NA,165718,Guam
HI,Hawaii,Hawaii,1415872,Hawaii
ID,Idaho,Idaho,1787065,Idaho
IL,Illinois,Illinois,12671821,Illinois
IN,Indiana,Indiana,6732219,Indiana
IA,Iowa,Iowa,3155070,Iowa
KS,Kansas,Kansas,2913314,Kansas
KY,Kentucky,Kentucky,4467673,Kentucky
LA,Louisiana,Louisiana,4648794,Louisiana
ME,Maine,Maine,1344212,Maine
MD,Maryland,Maryland,6045680,Maryland
MA,Massachusetts,Massachusetts,6892503,Massachusetts
MI,Michigan,Michigan,9986857,Michigan
MN,Minnesota,Minnesota,5639632,Minnesota
MS,Mississippi,Mississippi,2976149,Mississippi
MO,Missouri,Missouri,6137428,Missouri
MT,Montana,Montana,1068778,Montana
NE,Nebraska,Nebraska,1934408,Nebraska
NV,Nevada,Nevada,3080156,Nevada
NH,New Hampshire,New Hampshire,1359711,New Hampshire
NJ,New Jersey,New Jersey,8882190,New Jersey
NM,New Mexico,New Mexico,2096829,New Mexico
NY,New York,New York,19453561,New York
NC,North Carolina,North Carolina,10488084,North Carolina
ND,North Dakota,North Dakota,762062,North Dakota
MP,NA,NA,55194,NA
OH,Ohio,Ohio,11689100,Ohio
OK,Oklahoma,Oklahoma,3956971,Oklahoma
OR,Oregon,Oregon,4217737,Oregon
PA,Pennsylvania,Pennsylvania,12801989,Pennsylvania
PR,Puerto Rico,NA,3193694,Puerto Rico
RI,Rhode Island,Rhode Island,1059361,Rhode Island
SC,South Carolina,South Carolina,5148714,South Carolina
SD,South Dakota,South Dakota,884659,South Dakota
TN,Tennessee,Tennessee,6829174,Tennessee
TX,Texas,Texas,28995881,Texas
VI,Virgin Islands,NA,104914,Virgin Islands
UT,Utah,Utah,3205958,Utah
VT,Vermont,Vermont,623989,Vermont
VA,Virginia,Virginia,8535519,Virginia
WA,Washington,Washington,7614893,Washington
WV,West Virginia,West Virginia,1792147,West Virginia
WI,Wisconsin,Wisconsin,5822434,Wisconsin
WY,Wyoming,Wyoming,578759,Wyoming